Instance;Kích thước;BKS;Makespan (Best);Makespan (Avg);Makespan (Worst);RE_best (%);RE_avg (%);RE_worst (%);Time_avg (s);Time_total (s);OPT/Runs;Status
LA30;20x10;1355;1355;1355.00;1355;0.0000;0.0000;0.0000;7.69;76.90;10/10;OPT
LA31;30x10;1784;1784;1784.00;1784;0.0000;0.0000;0.0000;103.73;1037.27;10/10;OPT
LA32;30x10;1850;1850;1850.00;1850;0.0000;0.0000;0.0000;9.53;95.31;10/10;OPT
LA33;30x10;1719;1719;1719.00;1719;0.0000;0.0000;0.0000;31.31;313.13;10/10;OPT
LA34;30x10;1721;1721;1721.00;1721;0.0000;0.0000;0.0000;12.95;129.55;10/10;OPT
LA35;30x10;1888;1888;1888.00;1888;0.0000;0.0000;0.0000;20.29;202.87;10/10;OPT
LA36;15x15;1268;1268;1268.00;1268;0.0000;0.0000;0.0000;536.40;5364.02;10/10;OPT
LA37;15x15;1397;1397;1401.80;1410;0.0000;0.3436;0.9306;3161.52;31615.16;2/10;OPT
LA38;15x15;1196;1196;1196.60;1202;0.0000;0.0502;0.5017;1120.61;11206.09;9/10;OPT
LA39;15x15;1233;1233;1233.00;1233;0.0000;0.0000;0.0000;1519.46;15194.55;10/10;OPT
