Instance,Size,BKS,Makespan_SB,Gap%_SB,Optimal,Time(s)_SB,Makespan_GT,Gap%_GT,Time(s)_GT,Winner
FT06,6x6,55,55,0.0,True,0.017,65,18.18,0.0002,SB
LA01,10x5,666,666,0.0,True,0.015,735,10.36,0.0003,SB
LA02,10x5,655,684,4.43,False,0.02,860,31.3,0.0003,SB
LA03,10x5,597,645,8.04,False,0.021,713,19.43,0.0003,SB
LA04,10x5,590,614,4.07,False,0.028,817,38.47,0.0002,SB
LA05,10x5,593,593,0.0,True,0.008,621,4.72,0.0003,SB
LA06,15x5,926,926,0.0,True,0.019,926,0.0,0.0006,Tie
LA07,15x5,890,890,0.0,True,0.029,1031,15.84,0.0005,SB
LA08,15x5,863,863,0.0,True,0.036,1066,23.52,0.001,SB
LA09,15x5,951,951,0.0,True,0.017,1046,9.99,0.0005,SB
LA10,15x5,958,958,0.0,True,0.018,1052,9.81,0.0005,SB
LA11,20x5,1222,1222,0.0,True,0.04,1316,7.69,0.0009,SB
LA12,20x5,1039,1040,0.1,False,0.047,1167,12.32,0.0008,SB
LA13,20x5,1150,1150,0.0,True,0.029,1240,7.83,0.0008,SB
LA14,20x5,1292,1292,0.0,True,0.026,1292,0.0,0.0011,Tie
LA15,20x5,1207,1207,0.0,True,0.045,1415,17.23,0.0009,SB
LA16,10x10,945,1091,15.45,False,0.135,1219,28.99,0.0009,SB
LA17,10x10,784,787,0.38,False,0.116,914,16.58,0.0005,SB
LA18,10x10,848,887,4.6,False,0.101,1010,19.1,0.0005,SB
LA19,10x10,842,890,5.7,False,0.137,1084,28.74,0.0005,SB
LA20,10x10,902,935,3.66,False,0.131,1076,19.29,0.0008,SB
LA21,15x10,1046,1194,14.15,False,0.323,1267,21.13,0.001,SB
LA22,15x10,927,964,3.99,False,0.247,1170,26.21,0.0012,SB
LA23,15x10,1032,1074,4.07,False,0.259,1223,18.51,0.0011,SB
LA24,15x10,935,1095,17.11,False,0.573,1231,31.66,0.0045,SB
LA25,15x10,977,1105,13.1,False,1.289,1233,26.2,0.0052,SB
LA26,20x10,1218,1279,5.01,False,1.924,1490,22.33,0.0092,SB
LA27,20x10,1235,1293,4.7,False,2.513,1567,26.88,0.0056,SB
LA28,20x10,1216,1331,9.46,False,2.218,1618,33.06,0.008,SB
LA29,20x10,1152,1254,8.85,False,1.897,1470,27.6,0.0087,SB
LA30,20x10,1355,1424,5.09,False,1.927,1565,15.5,0.0076,SB
LA31,30x10,1784,1784,0.0,True,1.957,2024,13.45,0.0237,SB
LA32,30x10,1850,1850,0.0,True,1.807,2020,9.19,0.0159,SB
LA33,30x10,1719,1719,0.0,True,2.279,1997,16.17,0.0176,SB
LA34,30x10,1721,1721,0.0,True,3.272,1997,16.04,0.0156,SB
LA35,30x10,1888,1888,0.0,True,3.28,2108,11.65,0.0169,SB
LA36,15x15,1268,1351,6.55,False,3.231,1513,19.32,0.0073,SB
LA37,15x15,1397,1459,4.44,False,3.06,1734,24.12,0.0081,SB
LA38,15x15,1196,1318,10.2,False,3.183,1526,27.59,0.0081,SB
LA39,15x15,1233,1316,6.73,False,3.284,1524,23.6,0.0079,SB
LA40,15x15,1222,1306,6.87,False,4.672,1549,26.76,0.0083,SB
TA01,15x15,1231,1378,11.94,False,2.64,1589,29.08,0.0088,SB
TA02,15x15,1244,1314,5.63,False,3.244,1580,27.01,0.0087,SB
TA03,15x15,1218,1290,5.91,False,3.128,1604,31.69,0.0066,SB
TA04,15x15,1175,1258,7.06,False,3.95,1504,28.0,0.0083,SB
TA05,15x15,1224,1307,6.78,False,3.673,1553,26.88,0.0068,SB
TA06,15x15,1238,1320,6.62,False,4.15,1496,20.84,0.0071,SB
TA07,15x15,1227,1318,7.42,False,3.706,1540,25.51,0.0075,SB
TA08,15x15,1217,1306,7.31,False,4.212,1580,29.83,0.0077,SB
TA09,15x15,1274,1455,14.21,False,3.516,1579,23.94,0.0087,SB
TA10,15x15,1241,1332,7.33,False,2.287,1567,26.27,0.0075,SB
TA11,20x15,1357,1503,10.76,False,5.116,1796,32.35,0.0139,SB
TA12,20x15,1367,1509,10.39,False,6.673,1764,29.04,0.013,SB
TA13,20x15,1342,1490,11.03,False,2.538,1721,28.24,0.0025,SB
TA14,20x15,1345,1454,8.1,False,1.738,1685,25.28,0.0025,SB
TA15,20x15,1339,1519,13.44,False,1.563,1805,34.8,0.0026,SB
TA16,20x15,1360,1593,17.13,False,1.571,1755,29.04,0.0034,SB
TA17,20x15,1462,1636,11.9,False,1.493,1731,18.4,0.0026,SB
TA18,20x15,1396,1542,10.46,False,1.709,1812,29.8,0.0025,SB
TA19,20x15,1332,1560,17.12,False,1.634,1722,29.28,0.0034,SB
TA20,20x15,1348,1510,12.02,False,1.676,1748,29.67,0.0033,SB
TA21,20x20,1642,1794,9.26,False,3.85,2145,30.63,0.0035,SB
TA22,20x20,1600,1874,17.12,False,2.942,2077,29.81,0.0041,SB
TA23,20x20,1557,1672,7.39,False,3.434,2021,29.8,0.0036,SB
TA24,20x20,1644,1862,13.26,False,3.954,2037,23.91,0.0035,SB
TA25,20x20,1595,1787,12.04,False,3.251,2029,27.21,0.0038,SB
TA26,20x20,1643,1833,11.56,False,3.214,2058,25.26,0.0042,SB
TA27,20x20,1680,1803,7.32,False,3.207,2160,28.57,0.0038,SB
TA28,20x20,1603,1807,12.73,False,2.774,2081,29.82,0.0035,SB
TA29,20x20,1625,1788,10.03,False,2.84,2089,28.55,0.0036,SB
TA30,20x20,1584,1698,7.2,False,4.573,1987,25.44,0.0047,SB
TA31,30x15,1764,1871,6.07,False,4.339,2339,32.6,0.0066,SB
TA32,30x15,1784,1951,9.36,False,5.596,2373,33.02,0.0057,SB
TA33,30x15,1791,2083,16.3,False,7.627,2469,37.86,0.0277,SB
TA34,30x15,1829,2025,10.72,False,15.272,2349,28.43,0.0257,SB
TA35,30x15,2007,2038,1.54,False,14.623,2356,17.39,0.0303,SB
TA36,30x15,1819,1946,6.98,False,16.351,2533,39.25,0.03,SB
TA37,30x15,1771,1932,9.09,False,16.866,2329,31.51,0.0252,SB
TA38,30x15,1673,1924,15.0,False,15.995,2123,26.9,0.0227,SB
TA39,30x15,1795,1949,8.58,False,16.036,2358,31.36,0.0244,SB
TA40,30x15,1669,1905,14.14,False,16.904,2225,33.31,0.0238,SB
TA41,30x20,2005,2258,12.62,False,38.952,2807,40.0,0.0313,SB
TA42,30x20,1937,2242,15.75,False,32.993,2607,34.59,0.0347,SB
TA43,30x20,1846,2167,17.39,False,35.905,2513,36.13,0.0377,SB
TA44,30x20,1979,2229,12.63,False,33.685,2625,32.64,0.034,SB
TA45,30x20,2000,2211,10.55,False,14.649,2600,30.0,0.0308,SB
TA46,30x20,2004,2213,10.43,False,35.913,2593,29.39,0.0347,SB
TA47,30x20,1889,2143,13.45,False,10.321,2408,27.47,0.0082,SB
TA48,30x20,1937,2301,18.79,False,8.392,2639,36.24,0.0074,SB
TA49,30x20,1961,2207,12.54,False,8.067,2597,32.43,0.0358,SB
TA50,30x20,1923,2305,19.86,False,39.224,2630,36.77,0.0312,SB
