Instance,Size,BKS,Makespan,Gap%,Optimal,Time(s)
FT06,6x6,55,55,0.0,True,0.017
LA01,10x5,666,666,0.0,True,0.015
LA02,10x5,655,684,4.43,False,0.02
LA03,10x5,597,645,8.04,False,0.021
LA04,10x5,590,614,4.07,False,0.028
LA05,10x5,593,593,0.0,True,0.008
LA06,15x5,926,926,0.0,True,0.019
LA07,15x5,890,890,0.0,True,0.029
LA08,15x5,863,863,0.0,True,0.036
LA09,15x5,951,951,0.0,True,0.017
LA10,15x5,958,958,0.0,True,0.018
LA11,20x5,1222,1222,0.0,True,0.04
LA12,20x5,1039,1040,0.1,False,0.047
LA13,20x5,1150,1150,0.0,True,0.029
LA14,20x5,1292,1292,0.0,True,0.026
LA15,20x5,1207,1207,0.0,True,0.045
LA16,10x10,945,1091,15.45,False,0.135
LA17,10x10,784,787,0.38,False,0.116
LA18,10x10,848,887,4.6,False,0.101
LA19,10x10,842,890,5.7,False,0.137
LA20,10x10,902,935,3.66,False,0.131
LA21,15x10,1046,1194,14.15,False,0.323
LA22,15x10,927,964,3.99,False,0.247
LA23,15x10,1032,1074,4.07,False,0.259
LA24,15x10,935,1095,17.11,False,0.573
LA25,15x10,977,1105,13.1,False,1.289
LA26,20x10,1218,1279,5.01,False,1.924
LA27,20x10,1235,1293,4.7,False,2.513
LA28,20x10,1216,1331,9.46,False,2.218
LA29,20x10,1152,1254,8.85,False,1.897
LA30,20x10,1355,1424,5.09,False,1.927
LA31,30x10,1784,1784,0.0,True,1.957
LA32,30x10,1850,1850,0.0,True,1.807
LA33,30x10,1719,1719,0.0,True,2.279
LA34,30x10,1721,1721,0.0,True,3.272
LA35,30x10,1888,1888,0.0,True,3.28
LA36,15x15,1268,1351,6.55,False,3.231
LA37,15x15,1397,1459,4.44,False,3.06
LA38,15x15,1196,1318,10.2,False,3.183
LA39,15x15,1233,1316,6.73,False,3.284
LA40,15x15,1222,1306,6.87,False,4.672
TA01,15x15,1231,1378,11.94,False,2.64
TA02,15x15,1244,1314,5.63,False,3.244
TA03,15x15,1218,1290,5.91,False,3.128
TA04,15x15,1175,1258,7.06,False,3.95
TA05,15x15,1224,1307,6.78,False,3.673
TA06,15x15,1238,1320,6.62,False,4.15
TA07,15x15,1227,1318,7.42,False,3.706
TA08,15x15,1217,1306,7.31,False,4.212
TA09,15x15,1274,1455,14.21,False,3.516
TA10,15x15,1241,1332,7.33,False,2.287
TA11,20x15,1357,1503,10.76,False,5.116
TA12,20x15,1367,1509,10.39,False,6.673
TA13,20x15,1342,1490,11.03,False,2.538
TA14,20x15,1345,1454,8.1,False,1.738
TA15,20x15,1339,1519,13.44,False,1.563
TA16,20x15,1360,1593,17.13,False,1.571
TA17,20x15,1462,1636,11.9,False,1.493
TA18,20x15,1396,1542,10.46,False,1.709
TA19,20x15,1332,1560,17.12,False,1.634
TA20,20x15,1348,1510,12.02,False,1.676
TA21,20x20,1642,1794,9.26,False,3.85
TA22,20x20,1600,1874,17.12,False,2.942
TA23,20x20,1557,1672,7.39,False,3.434
TA24,20x20,1644,1862,13.26,False,3.954
TA25,20x20,1595,1787,12.04,False,3.251
TA26,20x20,1643,1833,11.56,False,3.214
TA27,20x20,1680,1803,7.32,False,3.207
TA28,20x20,1603,1807,12.73,False,2.774
TA29,20x20,1625,1788,10.03,False,2.84
TA30,20x20,1584,1698,7.2,False,4.573
TA31,30x15,1764,1871,6.07,False,4.339
TA32,30x15,1784,1951,9.36,False,5.596
TA33,30x15,1791,2083,16.3,False,7.627
TA34,30x15,1829,2025,10.72,False,15.272
TA35,30x15,2007,2038,1.54,False,14.623
TA36,30x15,1819,1946,6.98,False,16.351
TA37,30x15,1771,1932,9.09,False,16.866
TA38,30x15,1673,1924,15.0,False,15.995
TA39,30x15,1795,1949,8.58,False,16.036
TA40,30x15,1669,1905,14.14,False,16.904
TA41,30x20,2005,2258,12.62,False,38.952
TA42,30x20,1937,2242,15.75,False,32.993
TA43,30x20,1846,2167,17.39,False,35.905
TA44,30x20,1979,2229,12.63,False,33.685
TA45,30x20,2000,2211,10.55,False,14.649
TA46,30x20,2004,2213,10.43,False,35.913
TA47,30x20,1889,2143,13.45,False,10.321
TA48,30x20,1937,2301,18.79,False,8.392
TA49,30x20,1961,2207,12.54,False,8.067
TA50,30x20,1923,2305,19.86,False,39.224
